iter	Passed	Remaining
399	30243	196585
400	30291	196330
401	30344	196109
402	30390	195842
403	30436	195578
404	30484	195323
405	30532	195078
406	30582	194844
407	30629	194589
408	30680	194362
409	30726	194104
410	30774	193856
411	30819	193596
412	30865	193341
413	30912	193088
414	30960	192849
415	31012	192634
416	31060	192396
417	31107	192152
418	31155	191912
419	31203	191678
420	31250	191435
421	31297	191198
422	31347	190976
423	31394	190739
424	31443	190508
425	31491	190277
426	31540	190053
427	31587	189818
428	31632	189575
429	31680	189345
430	31726	189106
431	31789	188973
432	31854	188846
433	31907	188648
434	31965	188488
435	32030	188361
436	32091	188216
437	32148	188047
438	32208	187896
439	32270	187755
440	32333	187624
441	32398	187499
442	32464	187385
443	32530	187267
444	32600	187179
445	32652	186985
446	32723	186898
447	32779	186723
448	32834	186552
449	32886	186357
450	32941	186179
451	32997	186014
452	33053	185843
453	33108	185670
454	33167	185521
455	33226	185369
456	33295	185274
457	33355	185127
458	33413	184976
459	33473	184833
460	33550	184782
461	33613	184658
462	33674	184518
463	33750	184463
464	33808	184310
465	33868	184171
466	33928	184029
467	33987	183883
468	34050	183755
469	34113	183632
470	34211	183694
471	34269	183547
472	34317	183339
473	34367	183150
474	34416	182953
475	34468	182767
476	34517	182571
477	34574	182421
478	34637	182301
479	34707	182213
480	34760	182042
481	34810	181852
482	34858	181652
483	34909	181474
484	34960	181290
485	35015	181129
486	35070	180969
487	35124	180805
488	35178	180638
489	35233	180479
490	35285	180309
491	35339	180144
492	35394	179986
493	35446	179814
494	35496	179632
495	35548	179463
496	35597	179275
497	35648	179103
498	35707	178968
499	35764	178823
500	35820	178675
501	35875	178522
502	35925	178341
503	35977	178174
504	36027	177998
505	36076	177814
506	36125	177633
507	36175	177461
508	36228	177296
509	36278	177125
510	36329	176955
511	36378	176774
512	36425	176587
513	36471	176398
514	36517	176207
515	36565	176023
516	36612	175838
517	36660	175657
518	36709	175484
519	36755	175296
520	36802	175109
521	36849	174927
522	36896	174745
523	36941	174555
524	36989	174379
525	37038	174207
526	37085	174026
527	37131	173844
528	37178	173661
529	37224	173482
530	37272	173304
531	37318	173123
532	37364	172941
533	37409	172758
534	37455	172573
535	37501	172394
536	37547	172216
537	37594	172042
538	37639	171859
539	37686	171682
540	37735	171520
541	37785	171358
542	37831	171183
543	37876	171002
544	37924	170833
545	37971	170661
546	38018	170492
547	38064	170318
548	38112	170150
549	38158	169980
550	38205	169810
551	38252	169639
552	38298	169469
553	38346	169304
554	38391	169132
555	38438	168965
556	38485	168797
557	38533	168636
558	38579	168467
559	38626	168300
560	38673	168136
561	38719	167967
562	38769	167816
563	38816	167652
564	38862	167487
565	38910	167328
566	38958	167169
567	39006	167015
568	39054	166855
569	39102	166700
570	39155	166564
571	39205	166418
572	39274	166352
573	39341	166274
574	39388	166117
575	39438	165970
576	39489	165830
577	39539	165683
578	39587	165528
579	39635	165374
580	39695	165273
581	39746	165131
582	39796	164990
583	39850	164861
584	39903	164728
585	39955	164596
586	40010	164472
587	40067	164359
588	40127	164259
589	40185	164148
590	40304	164288
591	40378	164241
592	40427	164094
593	40473	163936
594	40519	163778
595	40568	163635
596	40616	163484
597	40663	163334
598	40709	163178
599	40759	163036
600	40809	162899
601	40862	162772
602	40919	162660
603	40974	162539
604	41030	162427
605	41082	162297
606	41134	162168
607	41186	162036
608	41239	161910
609	41285	161757
610	41333	161612
611	41380	161465
612	41429	161323
613	41481	161196
614	41533	161069
615	41581	160926
616	41629	160784
617	41677	160641
618	41724	160493
619	41774	160361
620	41823	160223
621	41871	160082
622	41921	159947
623	41969	159807
624	42020	159677
625	42069	159542
626	42124	159428
627	42179	159316
628	42234	159201
629	42287	159082
630	42338	158952
631	42385	158813
632	42434	158676
633	42481	158536
634	42530	158401
635	42579	158265
636	42626	158127
637	42678	158004
638	42736	157902
639	42796	157811
640	42858	157728
641	42912	157613
642	42965	157495
643	43019	157380
644	43065	157240
645	43112	157101
646	43160	156966
647	43208	156831
648	43256	156695
649	43302	156556
650	43352	156428
651	43397	156284
652	43445	156149
653	43491	156010
654	43536	155868
655	43581	155723
656	43628	155589
657	43676	155458
658	43723	155320
659	43768	155179
660	43822	155068
661	43868	154929
662	43913	154790
663	43960	154657
664	44007	154521
665	44054	154388
666	44100	154252
667	44145	154113
668	44194	153986
669	44240	153849
670	44287	153718
671	44333	153584
672	44380	153451
673	44426	153318
674	44473	153186
675	44520	153054
676	44574	152948
677	44620	152813
678	44668	152689
679	44714	152556
680	44761	152426
681	44811	152306
682	44858	152178
683	44904	152046
684	44951	151915
685	44998	151787
686	45044	151657
687	45090	151526
688	45136	151394
689	45184	151269
690	45229	151137
691	45276	151009
692	45323	150883
693	45370	150754
694	45415	150621
695	45462	150495
696	45508	150367
697	45555	150241
698	45602	150116
699	45648	149987
700	45694	149860
701	45741	149733
702	45791	149619
703	45838	149494
704	45884	149367
705	45929	149239
706	45977	149118
707	46025	148997
708	46072	148874
709	46118	148749
710	46164	148622
711	46211	148500
712	46257	148375
713	46303	148248
714	46349	148124
715	46396	148002
716	46442	147876
717	46488	147752
718	46534	147628
719	46585	147520
720	46631	147397
721	46681	147286
722	46730	147171
723	46779	147058
724	46829	146948
725	46877	146831
726	46927	146720
727	46977	146610
728	47026	146497
729	47071	146374
730	47120	146260
731	47168	146143
732	47215	146027
733	47267	145923
734	47318	145819
735	47368	145708
736	47414	145588
737	47467	145488
738	47520	145390
739	47566	145271
740	47616	145163
741	47665	145052
742	47711	144933
743	47765	144836
744	47819	144741
745	47868	144631
746	47921	144534
747	47970	144423
748	48021	144321
749	48072	144216
750	48119	144103
751	48171	144003
752	48222	143899
753	48269	143783
754	48320	143681
755	48371	143578
756	48417	143460
757	48472	143371
758	48524	143271
759	48575	143171
760	48622	143056
761	48670	142945
762	48717	142832
763	48766	142725
764	48817	142623
765	48867	142520
766	48915	142409
767	48963	142301
768	49013	142197
