iter	CrossEntropy
0	0.6912684951
1	0.6894852849
2	0.6879114138
3	0.6862097721
4	0.6843777094
5	0.6825926831
6	0.6810113824
7	0.6793644064
8	0.6779131965
9	0.6764230924
10	0.6747023598
11	0.6731205899
12	0.6715409663
13	0.6700699791
14	0.6685033898
15	0.6671290821
16	0.6657330246
17	0.6642956136
18	0.6627916497
19	0.6614139096
20	0.6599958242
21	0.6587525631
22	0.6574086426
23	0.6561845332
24	0.6547376159
25	0.6534970572
26	0.6521369569
27	0.6509355966
28	0.6496858445
29	0.6483318789
30	0.6472380688
31	0.6459534282
32	0.6448910915
33	0.6436518015
34	0.6424638144
35	0.6412242637
36	0.6401478848
37	0.6388563013
38	0.6377345804
39	0.63672989
40	0.6356431096
41	0.6345819982
42	0.6334104429
43	0.6323684223
44	0.6314391221
45	0.6303645505
46	0.6295892025
47	0.6283905794
48	0.6273906595
49	0.6265786416
50	0.6256484898
51	0.6248041557
52	0.6239511842
53	0.6229511774
54	0.622159606
55	0.621228142
56	0.6201546741
57	0.6191994791
58	0.618350218
59	0.6176398153
60	0.6167517295
61	0.6158265742
62	0.6148215622
63	0.6139995949
64	0.6131556517
65	0.6123530012
66	0.6113623096
67	0.6106028546
68	0.6098258381
69	0.6091150618
70	0.6082965529
71	0.6075927022
72	0.6066303905
73	0.6059240632
74	0.6050867763
75	0.6043398082
76	0.6037168481
77	0.6030047076
78	0.6023672534
79	0.6016371169
80	0.6010279123
81	0.6004121472
82	0.5996961224
83	0.5991540705
84	0.5983779056
85	0.5976868979
86	0.5970649806
87	0.5965047154
88	0.5957916712
89	0.5949154204
90	0.5943838393
91	0.5936762521
92	0.5930568287
93	0.5924771685
94	0.5919094737
95	0.5914499548
96	0.5909907921
97	0.5904737659
98	0.5898719518
99	0.5894328923
100	0.5888154327
101	0.5882044295
102	0.5876199249
103	0.587111132
104	0.5866261484
105	0.5861428506
106	0.5855032849
107	0.5849521481
108	0.5845290034
109	0.5838708465
110	0.5832680896
111	0.5827651361
112	0.582338142
113	0.5818419272
114	0.5811533265
115	0.5807249899
116	0.5802136467
117	0.5797957114
118	0.5793449124
119	0.5789217243
120	0.5784149865
121	0.5779088309
122	0.5774860556
123	0.5770709618
124	0.5764128135
125	0.5757363956
126	0.5751949475
127	0.5747803099
128	0.57437517
129	0.5738728725
130	0.5734433672
131	0.5730626447
132	0.5726485242
133	0.572189318
134	0.5716257595
135	0.5711539449
136	0.5707766331
137	0.5703165102
138	0.5699927389
139	0.5695591451
140	0.5691128125
141	0.5685889563
142	0.5681204742
143	0.5674963019
144	0.5668865239
145	0.5663860165
146	0.5657746786
147	0.5653003484
148	0.56485853
149	0.5643753799
150	0.5639722603
151	0.5634555556
152	0.5630469181
153	0.5625721404
154	0.5621432302
155	0.5618459489
156	0.5614812716
157	0.5611803624
158	0.5606894699
159	0.5602905864
160	0.5599532117
161	0.5594777518
162	0.559096899
163	0.5587767468
164	0.5583620528
165	0.5580192601
166	0.5576338801
167	0.5571780541
168	0.5568990121
169	0.5566399472
170	0.5562649946
171	0.5558749049
172	0.5555421486
173	0.5551159843
174	0.554534243
175	0.5542061747
176	0.5537514915
177	0.5532669337
178	0.5528304506
179	0.5524004717
180	0.5519318722
181	0.551523239
182	0.551129239
183	0.5507978166
184	0.550465712
185	0.5502197205
186	0.5498566204
187	0.5495274442
188	0.5491449317
189	0.5487758836
190	0.5485173879
191	0.5480767991
192	0.5477835714
193	0.5474726562
194	0.5471467863
195	0.5468412977
196	0.5464644117
197	0.5459748488
198	0.5456565344
199	0.5454059983
200	0.5450761313
201	0.5447417153
202	0.544265091
203	0.5438235289
204	0.5434746015
205	0.5431732186
206	0.5428157189
207	0.5424400755
208	0.5420872769
209	0.5417454444
210	0.5414662415
211	0.5411473059
212	0.5408241341
213	0.5403637202
214	0.5399552999
215	0.5396381587
216	0.5393536639
217	0.5390539365
218	0.538718847
219	0.5383609563
220	0.5379231177
221	0.5374926956
222	0.5370833629
223	0.5368675805
224	0.5364480638
225	0.5360234463
226	0.535669266
227	0.5352716424
228	0.5349878298
229	0.5345933519
230	0.5342930031
231	0.5339014579
232	0.5335224777
233	0.5331539988
234	0.5328773377
235	0.5326332796
236	0.5323848811
237	0.5321653449
238	0.5318524484
239	0.5314771483
240	0.5312623695
241	0.5310519833
242	0.5308278807
243	0.5305590923
244	0.5302534646
245	0.5300317647
246	0.5295942346
247	0.5292725487
248	0.5289936326
249	0.5287825295
250	0.5285522617
251	0.5282901686
252	0.5280954626
253	0.5277320975
254	0.5274580562
255	0.5271708591
256	0.5269638314
257	0.5266457864
258	0.5263624865
259	0.5261152133
260	0.5258963896
261	0.5256601347
262	0.5253995231
263	0.5250242359
264	0.5248249332
265	0.524632934
266	0.5243223229
267	0.5240727253
268	0.5237570482
269	0.5235839183
270	0.5233729456
271	0.5230878556
272	0.5228649478
273	0.5224821312
274	0.5222365395
275	0.5218510899
276	0.5216513571
277	0.52137752
278	0.5211023448
279	0.5207655913
280	0.5204724983
281	0.5201117357
282	0.5198371948
283	0.5195478904
284	0.5193307134
285	0.5191087745
286	0.5187515963
287	0.5184103677
288	0.5181694465
289	0.5179558148
290	0.5176199303
291	0.5172647854
292	0.5169686771
293	0.5167797845
294	0.5165377641
295	0.5163052804
296	0.5159795453
297	0.5157590227
298	0.5154255626
299	0.5152415751
300	0.5150105948
301	0.514735602
302	0.5145413132
303	0.5142939878
304	0.513981313
305	0.5138098993
306	0.5135203733
307	0.5132523626
308	0.5130456651
309	0.5128848699
310	0.5126313794
311	0.5124128598
312	0.5122677536
313	0.5120603044
314	0.5118598677
315	0.5116504504
316	0.5114552535
317	0.5112190116
318	0.5109974246
319	0.5107436647
320	0.510445471
321	0.5101855545
322	0.5099930253
323	0.5096930675
324	0.509517926
325	0.509343497
326	0.5091332933
327	0.5089306191
328	0.5087601742
329	0.5085816394
330	0.5083727044
331	0.5081948995
332	0.5079877545
333	0.5077848369
334	0.5074739565
335	0.5071475261
336	0.506953398
337	0.506765018
338	0.5065303533
339	0.5063570062
340	0.5061063006
341	0.5059555028
342	0.5056933792
343	0.5055225737
344	0.5053561261
345	0.5050807119
346	0.5049158457
347	0.5047202099
348	0.5044088559
349	0.504238524
350	0.5040432098
351	0.5038021713
352	0.5035960995
353	0.5034151099
